Algorithm,Level,Status,Time (s),Metric Type,Metric Value
A* (Manhattan),Level 7,Branching,0.0448,Max Branching,17
A* (Manhattan),Level 7,SUCCESS,0.0448,Nodes Expanded,98
A* (Manhattan),Level 7,SUCCESS,0.0448,Solution Length,24
A* (Real Maze),Level 7,Memory,0.0372,Max Stored Nodes,1497
A* (Real Maze),Level 7,Branching,0.0372,Avg Branching,10.959183673469388
A* (Real Maze),Level 7,Branching,0.0372,Max Branching,17
A* (Real Maze),Level 7,SUCCESS,0.0372,Nodes Expanded,98
A* (Real Maze),Level 7,SUCCESS,0.0372,Solution Length,24
A* (New Real Maze),Level 7,Memory,0.0793,Max Stored Nodes,945
A* (New Real Maze),Level 7,Branching,0.0793,Avg Branching,8.597560975609756
A* (New Real Maze),Level 7,Branching,0.0793,Max Branching,17
A* (New Real Maze),Level 7,SUCCESS,0.0793,Nodes Expanded,82
A* (New Real Maze),Level 7,SUCCESS,0.0793,Solution Length,26
A* (Hungarian),Level 7,Memory,0.0378,Max Stored Nodes,945
A* (Hungarian),Level 7,Branching,0.0378,Avg Branching,8.597560975609756
A* (Hungarian),Level 7,Branching,0.0378,Max Branching,17
A* (Hungarian),Level 7,SUCCESS,0.0378,Nodes Expanded,82
A* (Hungarian),Level 7,SUCCESS,0.0378,Solution Length,26
A* (Fast Distance),Level 7,Memory,0.0373,Max Stored Nodes,1497
A* (Fast Distance),Level 7,Branching,0.0373,Avg Branching,10.959183673469388
A* (Fast Distance),Level 7,Branching,0.0373,Max Branching,17
A* (Fast Distance),Level 7,SUCCESS,0.0373,Nodes Expanded,98
A* (Fast Distance),Level 7,SUCCESS,0.0373,Solution Length,24
A* (Exact Distance),Level 7,Memory,0.0288,Max Stored Nodes,904
A* (Exact Distance),Level 7,Branching,0.0288,Avg Branching,8.586666666666666
A* (Exact Distance),Level 7,Branching,0.0288,Max Branching,17
A* (Exact Distance),Level 7,SUCCESS,0.0288,Nodes Expanded,75
A* (Exact Distance),Level 7,SUCCESS,0.0288,Solution Length,26
A* (Satisficing),Level 7,Memory,0.0199,Max Stored Nodes,650
A* (Satisficing),Level 7,Branching,0.0199,Avg Branching,13.518518518518519
A* (Satisficing),Level 7,Branching,0.0199,Max Branching,19
A* (Satisficing),Level 7,SUCCESS,0.0199,Nodes Expanded,27
A* (Satisficing),Level 7,SUCCESS,0.0199,Solution Length,24
Fast Downward,Level 7,Metrics,59.1291,Nodes Expanded,0
Fast Downward,Level 7,Branching,59.1291,Avg Branching,0
Fast Downward,Level 7,FAILED,59.1291,Solution Length,0
LAMA First,Level 7,Metrics,1.6988,Nodes Expanded,119988
